geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1037,-23.5456,-46.6393,"sao paulo",SP
1046,-23.5461,-46.6448,"sao paulo",SP
1046,-23.5461,-46.643,"sao paulo",SP
1041,-23.5444,-46.6395,"sao paulo",SP
1035,-23.5416,-46.6416,"sao paulo",SP
1012,-23.5478,-46.6354,"são paulo",SP
1047,-23.5463,-46.6412,"sao paulo",SP
1013,-23.5469,-46.6343,"sao paulo",SP
1029,-23.5438,-46.6343,"sao paulo",SP
1011,-23.5476,-46.636,"sao paulo",SP
1013,-23.5473,-46.6342,"sao paulo",SP
1032,-23.5384,-46.6348,"sao paulo",SP
1014,-23.5464,-46.6338,"sao paulo",SP
1012,-23.5489,-46.6347,"sao paulo",SP
1037,-23.5452,-46.6379,"são paulo",SP
1046,-23.5461,-46.6448,"sao paulo",SP
1039,-23.5419,-46.6399,"sao paulo",SP
1024,-23.5414,-46.6299,"são paulo",SP
1009,-23.5469,-46.6366,"sao paulo",SP
1046,-23.5459,-46.6432,"sao paulo",SP
1046,-23.5452,-46.6438,"sao paulo",SP
1020,-23.5522,-46.6284,"são paulo",SP
1011,-23.5467,-46.6354,"são paulo",SP
1043,-23.5467,-46.6408,"são paulo",SP
1050,-23.5498,-46.6456,"sao paulo",SP
1045,-23.5416,-46.6419,"sao paulo",SP
1009,-23.5454,-46.6357,"sao paulo",SP
1007,-23.5504,-46.6373,"sao paulo",SP
1032,-23.5398,-46.6351,"são paulo",SP
1041,-23.5435,-46.6406,"sao paulo",SP
1005,-23.5498,-46.6356,"sao paulo",SP
1037,-23.5467,-46.6403,"são paulo",SP
1017,-23.55,-46.6312,"são paulo",SP
1046,-23.5453,-46.6441,"sao paulo",SP
1019,-23.5522,-46.6308,"sao paulo",SP
1032,-23.5408,-46.6355,"sao paulo",SP
1017,-23.5493,-46.6321,"sao paulo",SP
1050,-23.549,-46.6428,"sao paulo",SP
1050,-23.5488,-46.6428,"sao paulo",SP
1027,-23.5383,-46.6308,"sao paulo",SP
1050,-23.5499,-46.6431,"sao paulo",SP
1013,-23.5471,-46.6342,"sao paulo",SP
1033,-23.5403,-46.6364,"sao paulo",SP
1009,-23.5457,-46.6359,"sao paulo",SP
1046,-23.5461,-46.6448,"sao paulo",SP
1050,-23.5487,-46.6424,"sao paulo",SP
1032,-23.5412,-46.635,"sao paulo",SP
1020,-23.5525,-46.6316,"sao paulo",SP
1006,-23.5505,-46.6367,"sao paulo",SP
1034,-23.5424,-46.6377,"sao paulo",SP
1020,-23.5525,-46.6294,"sao paulo",SP
1047,-23.5466,-46.642,"sao paulo",SP
1042,-23.5449,-46.6403,"sao paulo",SP
1034,-23.5429,-46.6368,"sao paulo",SP
1047,-23.546,-46.6408,"sao paulo",SP
1035,-23.5402,-46.6441,"sao paulo",SP
1027,-23.5387,-46.6293,"sao paulo",SP
1046,-23.5464,-46.6429,"são paulo",SP
1042,-23.5451,-46.6401,"sao paulo",SP
1040,-23.5403,-46.6374,"sao paulo",SP
1046,-23.5464,-46.6431,"sao paulo",SP
1017,-23.5498,-46.6304,"sao paulo",SP
1026,-23.5395,-46.6328,"são paulo",SP
1033,-23.5391,-46.6358,"sao paulo",SP
1036,-23.5417,-46.6413,"sao paulo",SP
1046,-23.5461,-46.6448,"sao paulo",SP
1009,-23.5469,-46.6366,"sao paulo",SP
1046,-23.5461,-46.6448,"sao paulo",SP
1047,-23.5468,-46.6425,"são paulo",SP
1045,-23.5429,-46.6434,"sao paulo",SP
1014,-23.5471,-46.6334,"sao paulo",SP
1048,-23.5474,-46.6402,"são paulo",SP
1046,-23.5453,-46.6441,"sao paulo",SP
1002,-23.5483,-46.6354,"sao paulo",SP
1033,-23.5362,-46.6357,"sao paulo",SP
1048,-23.5471,-46.6395,"sao paulo",SP
1014,-23.5465,-46.6339,"sao paulo",SP
1031,-23.5369,-46.6335,"sao paulo",SP
1029,-23.5413,-46.6329,"sao paulo",SP
1050,-23.5499,-46.6431,"sao paulo",SP
