order_id,order_item_id,product_id,seller_id,order_purchase_timestamp,price,freight_value,total_revenue,product_category
01a75ac3dd000b7628a684be97c29234,1,b5c114b11d53b6fd85a6a90790f0b479,0adac9fbd9a2b63cccaac4f8756c1ca8,"2018-01-23 10:32:39",42.9,15.1,58,housewares
01855f880aae9a984c7c33b26fcf2e02,1,12bc892d6fff0dc42c8177f3665ef00e,e9779976487b77c6d4ac45f75ec7afe9,"2017-10-19 15:08:48",39.49,8.27,47.76,"HEALTH BEAUTY"
01855f880aae9a984c7c33b26fcf2e02,2,12bc892d6fff0dc42c8177f3665ef00e,e9779976487b77c6d4ac45f75ec7afe9,"2017-10-19 15:08:48",39.49,8.27,47.76,"HEALTH BEAUTY"
02aec12849744e266394182861265286,1,8aa6223e400af9c97b07c75993142721,1f9ab4708f3056ede07124aad39a2554,"2017-08-31 17:46:40",174.9,35.74,210.64,babies
0341b60065c49221a27293793f11b117,1,41c24b8ce92d1a2cac62db5edfd088b2,4869f7a5dfa277a7dca6462dcf3b52b2,"2018-04-22 14:26:17",102.9,22.43,125.33,"Watches present"
00125cb692d04887809806618a2a145f,1,1c0c0093a48f13ba70d0c6b0a9157cb7,41b39e28db005d9731d9d485a83b4c38,"2017-03-23 12:21:17",109.9,25.51,135.41,"Furniture Decoration"
011b142c9e082a5c1d10e0a88cd9c8e8,1,4cb33e9787e8a38b82bd68e70f5f4700,17e34d8224d27a541263c4c64b11a56b,"2018-03-23 11:43:13",243.37,53.83,297.2,perfumery
01835ef41c5ac66dd9ec6084fa1d0533,1,bbaef2eadf31fe3ea6702077398be06c,cc419e0650a3c5ba77189a1882b7556a,"2017-05-11 21:36:10",56.99,15.15,72.14,perfumery
0132451f29a10b66a5cf1bacc85f9afe,2,283dc451ad3918badb976d56ff887289,da8622b14eb17ae2831f4ac5b9dab84a,"2017-11-08 17:08:56",89.9,17.88,107.78,"bed table bath"
0132451f29a10b66a5cf1bacc85f9afe,1,42a2bd596fda1baef5719cb74f73030c,da8622b14eb17ae2831f4ac5b9dab84a,"2017-11-08 17:08:56",89.9,17.88,107.78,"bed table bath"
0197cb265e2c84b9f89dfd784095d2f6,1,b8fb835549196ef18695839a1a749584,51702dc2a3e106c76dbff722b5bf0726,"2017-12-21 20:55:24",320,58.91,378.91,"Furniture Decoration"
02610d88ac343ed64988d2706ce3ebfd,1,ce169d5f9421a6f21e41a7bf54d0b98e,8b321bb669392f5163d04c59e235e066,"2018-02-04 19:34:05",28,15.11,43.11,"musical instruments"
00946f674d880be1f188abc10ad7cf46,1,4dcb49b9ca7e48d2f108d40caa77caa2,5cf13accae3222c70a9cac40818ae839,"2017-12-09 19:11:22",99.9,18.57,118.47,"pet Shop"
00946f674d880be1f188abc10ad7cf46,2,9bb2d066e4b33b624cbdfec7d50b3dcb,5cf13accae3222c70a9cac40818ae839,"2017-12-09 19:11:22",99.9,14.35,114.25,"pet Shop"
00a0116ff15ff973ea16bee881208ae7,1,d1c427060a0f73f6b889a5c7c61f2ac4,a1043bafd471dff536d0c462352beb48,"2018-02-18 16:22:23",149,45.12,194.12,"computer accessories"
02c371100bf54facae80322579c7fefb,1,3104dbf304c25fa1812a11ad924f8b57,e62b2d6ac10570a035a30bafcf01d263,"2017-11-07 02:55:51",49.9,9.34,59.24,flowers
0300095becf10f9b2993706759522741,1,59f17be62604541797d4df87ae80cf73,4e922959ae960d389249c378d1c939f5,"2018-07-01 20:21:03",89,9.93,98.93,"Games consoles"
006dd93155bc2abd844cc5eed3a0fe7f,1,1ec486885049bbb9b79351d150ed18c4,cab85505710c7cb9b720bceb52b01cee,"2017-12-02 01:20:28",49.9,7.78,57.68,"Fashion Bags and Accessories"
0301ec492e902f2630234df285fa2a1b,1,6cdd53843498f92890544667809f1595,ccc4bbb5f32a6ab2b7066a4130f114e3,"2017-08-30 16:03:26",349.9,29.3,379.2,"HEALTH BEAUTY"
029e3b4c8e64bea4ba22e456cd1930a3,1,11dcc970f7a5581e1bf777b6da3f7096,06579cb253ecd5a3a12a9e6eb6bf8f47,"2017-08-10 21:05:20",69.9,17.74,87.64,housewares
02671152ed141efc95384bdd230bc544,1,caa41bf17e27022341da028e79152c4c,f84a00e60c73a49e7e851c9bdca3a5bb,"2017-11-26 21:33:25",46.4,16.11,62.51,"HEALTH BEAUTY"
00471463a6106056c1a2a809f70de640,1,9df0e8a7eef2a38b74e6d5c0e224b11f,7c67e1448b00f6e969d365cea6b010ab,"2017-09-21 22:00:44",179.99,85.97,265.96,"Furniture Decoration"
001c85b5f68d2be0cb0797afc9e8ce9a,1,84f456958365164420cfc80fbe4c7fab,4a3ca9315b744ce9f8e9374361493884,"2017-11-24 19:19:18",99,13.71,112.71,"bed table bath"
02ea547b6d2ee25305588fd50df58b46,1,b000447e24e31a4d7e628ca4d0622131,92eb0f42c21942b6552362b9b114707d,"2017-03-23 22:03:43",23.99,15.65,39.64,telephony
008fab5602c441d51f30b1464f5d4643,1,f23c48d81cd6a0c87f5c3b14aac68371,ebd2d60905fb58271facef5596b620d3,"2017-02-22 10:37:41",49.99,15.56,65.55,"HEALTH BEAUTY"
00a77f9cc25b05b2004752593d7b8888,1,33bd5538a16d23f0a39da1c9bfd20980,94e93ce877be27a515118dbfd2c2be41,"2017-06-22 19:53:24",177.9,18.5,196.4,"House comfort"
02608b91ec6070ff5fcd4b63dd964232,1,aa280035c50ba62c746480a59045eec4,fa40cc5b934574b62717c68f3d678b6d,"2018-02-23 14:59:08",30.5,7.78,38.28,toys
01380d0df5b7dc8bd13f2266a57bd42c,1,35557c68a22ecebcf066e25ca2ddc144,f8db351d8c4c4c22c6835c19a46f01b0,"2017-04-17 19:32:46",16.9,10.96,27.86,"Garden tools"
02bee300cb834a5d334ae42fdc325e7a,1,0b6a32b32a7dc68b12e8a0e0805c44d5,fa1c13f2614d7b5c4749cbc52fecda94,"2018-06-19 17:51:45",195.9,8.63,204.53,"Watches present"
0334c2700a7e8ac0f3efeb36b4a91e68,1,2a217b8a9a09c938d8db704d99d7f053,3d871de0142ce09b7081e2b9d1733cb1,"2017-09-06 22:41:34",55,16.15,71.15,toys
00bd2cb7e9076e1ccc9f766fc01a4cfd,1,1427b126f61597524866770b05d4eed2,0b90b6df587eb83608a64ea8b390cf07,"2018-04-18 10:00:14",98.81,13.81,112.62,"computer accessories"
016fbc333d66b414be541c6159576c40,1,b0cd550945da1de6eb9cb69595d540df,6b243f80ed07b10f0e8aa0f21a205f3c,"2018-05-30 18:09:10",84.9,18.52,103.42,"sport leisure"
002f16b7bc4530031b7d90f791b12d8a,1,d54c5b81fc2b38707588dd4eddc7c594,0241d4d5d36f10f80c644447315af0bd,"2018-07-02 16:51:47",249.9,34.23,284.13,"Furniture Decoration"
011e6e76dd0cd56d26b5b0cb036e80a8,1,d33a74e1b6cfc152b6b3f43324d54987,9f505651f4a6abe901a56cdc21508025,"2018-04-08 17:34:16",14.99,8.29,23.28,"computer accessories"
00f57f2ccce2a2e3f393fe8f5e616e0d,1,d6dc2dcbb3ef25e47ef82f3c013ab820,1025f0e2d44d7041d6cf58b6550e0bfa,"2018-07-08 22:01:30",225,60.81,285.81,"Casa Construcao"
02a0929986b1647b2df9bb303b4851b9,1,2c7f01e4f39f8ca21caddb86374d7b4b,edf96ef93ed595084bbcbd9224bd2894,"2018-06-25 21:13:29",259,39.58,298.58,electronics
00a174dbf11967d260033fa6ab711493,1,fca62108387e25005784da2f551466a1,31344c16881c08a8a72c6d2eb29918c1,"2017-11-27 10:29:23",249.9,41.53,291.43,"Furniture Decoration"
0231382a78f19752dabca6a86b618152,1,4e0d01d5e5e4bd454e71e7cd1491c052,a416b6a846a11724393025641d4edd5e,"2017-03-09 21:17:43",76.49,9.53,86.02,"HEALTH BEAUTY"
02bfd16c1a67263989b258fa92e20d3b,1,625dac8156b3157351e7257305148f3f,5656537e588803a555b8eb41f07a944b,"2018-08-16 20:02:31",39.89,51,90.89,telephony
00ab1aba567dfebdc39caa4e7ca2f1b2,1,fcf64c72035fc6f17660bae96c933ffb,8444e55c1f13cd5c179851e5ca5ebd00,"2017-09-01 14:01:04",35.9,12.48,48.38,perfumery
00345f338696283410b7977d2e3efc89,1,0f2fd0a589cb7849c1dbedbd4109c2f8,516e7738bd8f735ac19a010ee5450d8d,"2018-08-20 11:06:46",48.9,18.44,67.34,"HEALTH BEAUTY"
032c9c5e050a01a77c20be3989064308,1,88dd63919fc9ab693803578a04a20209,7ddcbb64b5bc1ef36ca8c151f6ec77df,"2017-08-15 20:40:16",34.99,15.1,50.09,"computer accessories"
0306b467a7c7d400d265b71cf6608e15,1,72ef87b1953a2844ed089bd6dcf73913,8c16d1f32a54d92897cc437244442e1b,"2018-02-01 11:32:12",61.5,13.58,75.08,"Furniture office"
019440e41e276668d99d996d5d1a22c1,1,26c3ead5dff3d8e393e5331273f4e91a,897060da8b9a21f655304d50fd935913,"2018-06-12 23:05:15",44,12.97,56.97,"computer accessories"
01c4f4e08d9e8b7c5bd47e612285993f,1,422879e10f46682990de24d770e7f83d,1f50f920176fa81dab994f9023523100,"2017-11-24 00:31:33",49,13.41,62.41,"Garden tools"
02440f65dc09737b491463739c347446,1,c7b3b8509e06ae21abdd78b541215cda,620c87c171fb2a6dd6e8bb4dec959fc6,"2018-02-26 09:57:21",119.9,15.59,135.49,perfumery
00042b26cf59d7ce69dfabb4e55b4fd9,1,ac6c3623068f30de03045865e4e10089,df560393f3a51e74553ab94004ba5c87,"2017-02-04 13:57:51",199.9,18.14,218.04,"Garden tools"
01f80c40f143af17e50622fe26ca76c4,1,839321c2db7b3b3eaff4944c3b052ecd,d25aa0aaacb370e912f8cf6efeba38b3,"2018-05-20 14:26:45",113.89,23.38,137.27,housewares
02564f320004c61ebf621191f06365a9,1,2e0ce433616916840a405d0853407af8,897060da8b9a21f655304d50fd935913,"2018-02-18 17:02:17",25.9,11.85,37.75,"computer accessories"
02dcfbe3274b16820a9fca74c156dc9a,1,431dc11c26a67c6a49e81cee84f35b28,66e0557ecc2b4dbea057e93f215f68d8,"2017-11-20 13:53:01",454,15.52,469.52,"Games consoles"
00fdb72e467da6f3b000b19b368a6cf6,1,a157e6178c6f7a8355999fa9cb3d136e,ca3bd7cd9f149df75950150d010fe4a2,"2017-10-24 21:31:18",18.25,17.6,35.85,housewares
013a98b3a668bcef05b98898177f6923,2,306b0c58328826c0564cbc520787d508,7ad32824caee82087b3e2e5f33b1bf32,"2018-08-11 23:17:37",89,23.35,112.35,"bed table bath"
013a98b3a668bcef05b98898177f6923,1,a93ad122024312ca432da7f7b32474b4,8a432f4e5b471f8da497d7dc517666e2,"2018-08-11 23:17:37",63,23.35,86.35,"bed table bath"
0188ca1fe398161f0f310fec985ac155,1,6ed58ce8373b3d0c7704df9daf21e4d8,5b2e94f2c22b39ccc24d34ad0f669672,"2018-06-28 10:56:25",66,43.4,109.4,automotive
008819c6d5f6da6fa5cd9d50ca927cf4,1,57f2bc497c1a3ebe41ba7a06d78ed159,6560211a19b47992c3666cc44a7e94c0,"2018-08-04 21:40:35",55,7.65,62.65,"Watches present"
0098dbda25722a3f019fe252a0cd10b3,1,568ba441f7f464dc73d23a91cf8ca671,cca3071e3e9bb7d12640c9fbe2301306,"2017-09-19 18:05:34",143.54,21.49,165.03,"bed table bath"
000229ec398224ef6ca0657da4fc703e,1,c777355d18b72b67abbeef9df44fd0fd,5b51032eddd242adc84c38acab88f23d,"2018-01-14 14:33:31",199,17.87,216.87,"Furniture Decoration"
031f32fc546699a954d6d89cfe9ca029,1,51e8feeedd83467b86a79aa2769367c5,1da3aeb70d7989d1e6d9b0e887f97c23,"2018-05-07 16:05:05",17.99,7.39,25.38,toys
01e9b3d727e46edf036b0bd549c38bb4,1,af56e0203193f066ed64cbbbbf95ae6a,ef990a83bbea832f36ebe81376335aa8,"2018-01-20 21:14:48",99.9,16.46,116.36,"sport leisure"
016a938f2b34aa5ef05027fc83f5b81b,1,304104a478e3a605db6072a22e4ee228,31da954dc0855f2495c6310f70a2f931,"2018-01-23 21:47:21",299,22.58,321.58,electrostile
